ea_id,strategy,family,symbol,timeframe,force_symbol,run_strategy,balance,risk_pct_target,hist_max_dd,lot_step,net_profit,realized_dd,realized_dd_pct,equity_dd_pct,trades,first_trade,last_trade,win_rate_pct,hist_max_loss_streak,hist_max_loss_streak_days,hist_max_streak_cost,hist_avg_loss_streak,hist_max_win_streak,largest_single_loss,dd_vs_target,report_path
Indicement_US100_1_H1_USTEC.a_H1_REALTICKS,Indicement_US100_1_H1,Indicement US100,USTEC.a,H1,USTEC.a,1,100000,5.0,12.0,240.0,3562.82,1982.47,1.96,2.2,73,2026-05-05 15:48:28,2026-08-12 16:30:42,80.8,3,3,1982.47,1.4,17,671.23,0.39,C:\BulkBackTest\Proxy_3m_RealTicks\reports\Indicement_US100_1_H1_USTEC.a_H1_REALTICKS.htm
Indicement_US100_2_H1_USTEC.a_H1_REALTICKS,Indicement_US100_2_H1,Indicement US100,USTEC.a,H1,USTEC.a,1,100000,5.0,10.0,200.0,886.93,676.75,0.68,0.78,18,2026-05-05 15:20:15,2026-08-12 15:30:10,72.2,2,2,676.75,1.25,4,548.0,0.14,C:\BulkBackTest\Proxy_3m_RealTicks\reports\Indicement_US100_2_H1_USTEC.a_H1_REALTICKS.htm
Indicement_US100_3_H1_USTEC.a_H1_REALTICKS,Indicement_US100_3_H1,Indicement US100,USTEC.a,H1,USTEC.a,1,100000,5.0,15.0,300.0,120.65,2597.31,2.53,2.64,60,2026-05-05 17:25:03,2026-08-12 18:33:55,78.3,3,2,1483.23,1.71,18,504.22,0.51,C:\BulkBackTest\Proxy_3m_RealTicks\reports\Indicement_US100_3_H1_USTEC.a_H1_REALTICKS.htm
Indicement_US100_4_H1_USTEC.a_H1_REALTICKS,Indicement_US100_4_H1,Indicement US100,USTEC.a,H1,USTEC.a,1,100000,5.0,13.0,260.0,2202.8,1325.46,1.28,1.86,24,2026-05-05 17:15:06,2026-08-12 17:11:25,70.8,2,2,1325.46,1.17,6,907.77,0.26,C:\BulkBackTest\Proxy_3m_RealTicks\reports\Indicement_US100_4_H1_USTEC.a_H1_REALTICKS.htm
Indicement_US30_1_Daily_US30.a_Daily_REALTICKS,Indicement_US30_1_Daily,Indicement US30,US30.a,Daily,US30.a,1,100000,5.0,10.0,200.0,-1679.02,2264.74,2.25,2.4,14,2026-05-01 15:32:13,2026-08-04 13:30:00,57.1,4,4,2192.22,2.0,6,582.96,0.45,C:\BulkBackTest\Proxy_3m_RealTicks\reports\Indicement_US30_1_Daily_US30.a_Daily_REALTICKS.htm
Indicement_US30_2_Daily_US30.a_Daily_REALTICKS,Indicement_US30_2_Daily,Indicement US30,US30.a,Daily,US30.a,1,100000,5.0,45.0,900.0,816.72,407.1,0.41,0.73,5,2026-07-27 01:00:15,2026-08-04 15:10:33,80.0,1,1,407.1,1.0,4,407.1,0.08,C:\BulkBackTest\Proxy_3m_RealTicks\reports\Indicement_US30_2_Daily_US30.a_Daily_REALTICKS.htm
Indicement_US30_3_Daily_US30.a_Daily_REALTICKS,Indicement_US30_3_Daily,Indicement US30,US30.a,Daily,US30.a,1,100000,5.0,20.0,400.0,-1673.93,2000.55,2.0,2.28,18,2026-05-01 18:21:11,2026-08-04 14:42:49,16.7,8,7,1537.39,5.0,1,261.29,0.4,C:\BulkBackTest\Proxy_3m_RealTicks\reports\Indicement_US30_3_Daily_US30.a_Daily_REALTICKS.htm
Indicement_US30_4_Daily_US30.a_Daily_REALTICKS,Indicement_US30_4_Daily,Indicement US30,US30.a,Daily,US30.a,1,100000,5.0,37.0,740.0,-631.18,1107.05,1.11,1.2,40,2026-05-01 16:30:35,2026-08-12 15:28:56,32.5,7,4,659.19,3.38,3,103.74,0.22,C:\BulkBackTest\Proxy_3m_RealTicks\reports\Indicement_US30_4_Daily_US30.a_Daily_REALTICKS.htm
Indicement_US500a_H1_US500.a_H1_REALTICKS,Indicement_US500a_H1,Indicement US500,US500.a,H1,US500.a,1,100000,5.0,15.0,300.0,-1296.86,2609.1,2.58,2.76,56,2026-05-04 13:10:41,2026-08-11 21:32:06,50.0,5,5,1017.06,2.25,7,332.5,0.52,C:\BulkBackTest\Proxy_3m_RealTicks\reports\Indicement_US500a_H1_US500.a_H1_REALTICKS.htm
Indicement_US500b_M15_US500.a_M15_REALTICKS,Indicement_US500b_M15,Indicement US500,US500.a,M15,US500.a,1,100000,5.0,15.0,300.0,-2718.85,2718.85,2.72,2.92,22,2026-05-07 17:45:42,2026-08-12 15:30:01,9.1,8,8,1665.94,6.67,1,231.02,0.54,C:\BulkBackTest\Proxy_3m_RealTicks\reports\Indicement_US500b_M15_US500.a_M15_REALTICKS.htm
Indicement_US500c_M15_US500.a_M15_REALTICKS,Indicement_US500c_M15,Indicement US500,US500.a,M15,US500.a,1,100000,5.0,17.0,340.0,-761.67,919.53,0.92,1.23,16,2026-05-07 17:39:39,2026-07-28 17:36:46,18.8,5,4,919.53,3.25,1,200.45,0.18,C:\BulkBackTest\Proxy_3m_RealTicks\reports\Indicement_US500c_M15_US500.a_M15_REALTICKS.htm
Indicement_US500d_H1_US500.a_H1_REALTICKS,Indicement_US500d_H1,Indicement US500,US500.a,H1,US500.a,1,100000,5.0,40.0,800.0,-374.02,926.11,0.92,1.08,24,2026-05-06 11:57:22,2026-07-31 17:31:28,50.0,4,4,678.37,1.71,3,401.74,0.18,C:\BulkBackTest\Proxy_3m_RealTicks\reports\Indicement_US500d_H1_US500.a_H1_REALTICKS.htm
Indicement_US500e_Daily_US500.a_Daily_REALTICKS,Indicement_US500e_Daily,Indicement US500,US500.a,Daily,US500.a,1,100000,5.0,60.0,1200.0,-67.73,934.44,0.93,0.99,21,2026-05-06 14:43:10,2026-08-03 17:02:55,42.9,5,5,735.03,2.0,2,281.86,0.19,C:\BulkBackTest\Proxy_3m_RealTicks\reports\Indicement_US500e_Daily_US500.a_Daily_REALTICKS.htm
Indicement_US500f_Daily_US500.a_Daily_REALTICKS,Indicement_US500f_Daily,Indicement US500,US500.a,Daily,US500.a,1,100000,5.0,15.0,300.0,-701.65,913.36,0.91,1.01,24,2026-05-05 22:50:00,2026-08-03 01:19:15,37.5,7,9,547.71,2.5,5,183.54,0.18,C:\BulkBackTest\Proxy_3m_RealTicks\reports\Indicement_US500f_Daily_US500.a_Daily_REALTICKS.htm
ORBMASTER_DAX_M15_a_DE40.a_M15_REALTICKS,ORBMASTER_DAX_M15_a,ORB Master,DE40.a,M15,DE40.a,1,100000,5.0,17.0,340.0,-1245.37,3125.39,3.07,3.5,32,2026-05-05 10:36:41,2026-08-11 14:55:01,40.6,5,4,1108.9,2.38,3,836.33,0.61,C:\BulkBackTest\Proxy_3m_RealTicks\reports\ORBMASTER_DAX_M15_a_DE40.a_M15_REALTICKS.htm
ORBMASTER_DAX_M15_c_DE40.a_M15_REALTICKS,ORBMASTER_DAX_M15_c,ORB Master,DE40.a,M15,DE40.a,1,100000,5.0,11.0,220.0,-30.51,2364.34,2.32,3.12,32,2026-05-05 10:36:09,2026-08-11 15:55:05,59.4,3,3,1235.77,1.44,4,954.06,0.46,C:\BulkBackTest\Proxy_3m_RealTicks\reports\ORBMASTER_DAX_M15_c_DE40.a_M15_REALTICKS.htm
ORBMASTER_DAX_M15_f_DE40.a_M15_REALTICKS,ORBMASTER_DAX_M15_f,ORB Master,DE40.a,M15,DE40.a,1,100000,5.0,15.0,300.0,-819.72,3139.03,3.08,3.31,72,2026-05-04 10:19:18,2026-08-11 10:54:59,33.3,12,8,2219.52,4.36,5,206.99,0.62,C:\BulkBackTest\Proxy_3m_RealTicks\reports\ORBMASTER_DAX_M15_f_DE40.a_M15_REALTICKS.htm
ORBMASTER_US30_M15_c_US30.a_M15_REALTICKS,ORBMASTER_US30_M15_c,ORB Master,US30.a,M15,US30.a,1,100000,5.0,14.0,280.0,-2216.46,2792.83,2.78,3.28,18,2026-05-07 20:25:34,2026-07-23 10:00:30,33.3,5,4,2306.87,2.0,1,493.79,0.56,C:\BulkBackTest\Proxy_3m_RealTicks\reports\ORBMASTER_US30_M15_c_US30.a_M15_REALTICKS.htm
ORBMASTER_US30_M15_f_US30.a_M15_REALTICKS,ORBMASTER_US30_M15_f,ORB Master,US30.a,M15,US30.a,1,100000,5.0,12.0,240.0,-185.68,2061.87,2.04,2.24,20,2026-05-07 17:31:52,2026-07-22 17:08:02,65.0,2,2,1090.08,1.17,3,548.4,0.41,C:\BulkBackTest\Proxy_3m_RealTicks\reports\ORBMASTER_US30_M15_f_US30.a_M15_REALTICKS.htm
ORBMASTER_US30_M15_h_US30.a_M15_REALTICKS,ORBMASTER_US30_M15_h,ORB Master,US30.a,M15,US30.a,1,100000,5.0,9.0,180.0,-172.99,1416.13,1.41,1.79,18,2026-05-07 17:48:02,2026-07-22 17:14:32,61.1,3,3,1030.13,1.75,4,357.12,0.28,C:\BulkBackTest\Proxy_3m_RealTicks\reports\ORBMASTER_US30_M15_h_US30.a_M15_REALTICKS.htm
ORBMASTER_US500_M15_a_US500.a_M15_REALTICKS,ORBMASTER_US500_M15_a,ORB Master,US500.a,M15,US500.a,1,100000,5.0,13.0,260.0,-3879.33,3879.33,3.88,4.1,26,2026-05-07 17:45:47,2026-08-12 15:30:01,11.5,8,8,1915.24,5.75,1,261.6,0.78,C:\BulkBackTest\Proxy_3m_RealTicks\reports\ORBMASTER_US500_M15_a_US500.a_M15_REALTICKS.htm
ORBMASTER_US500_M15_c_US500.a_M15_REALTICKS,ORBMASTER_US500_M15_c,ORB Master,US500.a,M15,US500.a,1,100000,5.0,11.0,220.0,-1565.38,1714.41,1.71,1.88,12,2026-05-07 17:45:42,2026-07-28 17:48:03,16.7,4,4,1139.23,3.33,1,308.52,0.34,C:\BulkBackTest\Proxy_3m_RealTicks\reports\ORBMASTER_US500_M15_c_US500.a_M15_REALTICKS.htm
ORBMASTER_US500_M15_d_US500.a_M15_REALTICKS,ORBMASTER_US500_M15_d,ORB Master,US500.a,M15,US500.a,1,100000,5.0,10.0,200.0,-4740.79,4740.79,4.74,5.05,19,2026-05-07 17:45:42,2026-08-12 15:30:01,5.3,9,9,2798.31,9.0,1,338.37,0.95,C:\BulkBackTest\Proxy_3m_RealTicks\reports\ORBMASTER_US500_M15_d_US500.a_M15_REALTICKS.htm
ORBMASTER_USTEC_M15_a_USTEC.a_M15_REALTICKS,ORBMASTER_USTEC_M15_a,ORB Master,USTEC.a,M15,USTEC.a,1,100000,5.0,24.0,480.0,13.84,2701.89,2.63,3.03,12,2026-05-15 10:13:43,2026-08-12 23:59:44,58.3,5,5,2701.89,5.0,7,817.19,0.53,C:\BulkBackTest\Proxy_3m_RealTicks\reports\ORBMASTER_USTEC_M15_a_USTEC.a_M15_REALTICKS.htm
ORBMASTER_USTEC_M15_e_USTEC.a_M15_REALTICKS,ORBMASTER_USTEC_M15_e,ORB Master,USTEC.a,M15,USTEC.a,1,100000,5.0,15.0,300.0,-1409.13,1904.07,1.9,2.04,33,2026-05-11 16:36:35,2026-08-11 16:41:52,27.3,7,7,1189.86,3.0,2,345.8,0.38,C:\BulkBackTest\Proxy_3m_RealTicks\reports\ORBMASTER_USTEC_M15_e_USTEC.a_M15_REALTICKS.htm
ORBMASTER_USTEC_M15_g_USTEC.a_M15_REALTICKS,ORBMASTER_USTEC_M15_g,ORB Master,USTEC.a,M15,USTEC.a,1,100000,5.0,17.0,340.0,-2570.33,2570.33,2.57,2.7,25,2026-05-12 16:50:50,2026-08-11 17:01:32,28.0,6,5,1063.72,2.57,2,329.41,0.51,C:\BulkBackTest\Proxy_3m_RealTicks\reports\ORBMASTER_USTEC_M15_g_USTEC.a_M15_REALTICKS.htm
OtherSets_nas100_H1_A_USTEC.a_H1_REALTICKS,OtherSets_nas100_H1_A,Other Sets NAS100,USTEC.a,H1,USTEC.a,1,100000,5.0,30.0,600.0,674.25,1526.43,1.49,1.66,42,2026-05-06 01:52:09,2026-08-12 23:59:44,35.7,6,5,1075.35,3.0,4,705.1,0.3,C:\BulkBackTest\Proxy_3m_RealTicks\reports\OtherSets_nas100_H1_A_USTEC.a_H1_REALTICKS.htm
OtherSets_nas100_H1_C_USTEC.a_H1_REALTICKS,OtherSets_nas100_H1_C,Other Sets NAS100,USTEC.a,H1,USTEC.a,1,100000,5.0,46.0,920.0,822.33,1346.93,1.32,1.75,57,2026-05-06 01:52:34,2026-08-12 23:59:44,49.1,6,5,806.09,2.42,5,259.34,0.26,C:\BulkBackTest\Proxy_3m_RealTicks\reports\OtherSets_nas100_H1_C_USTEC.a_H1_REALTICKS.htm
OtherSets_nas100_H1_E_USTEC.a_H1_REALTICKS,OtherSets_nas100_H1_E,Other Sets NAS100,USTEC.a,H1,USTEC.a,1,100000,5.0,33.0,660.0,769.92,1980.17,1.97,2.41,80,2026-05-06 01:52:22,2026-08-12 23:59:44,47.5,7,3,1171.65,2.8,6,517.05,0.39,C:\BulkBackTest\Proxy_3m_RealTicks\reports\OtherSets_nas100_H1_E_USTEC.a_H1_REALTICKS.htm
OtherSets_nas100_H1_G_USTEC.a_H1_REALTICKS,OtherSets_nas100_H1_G,Other Sets NAS100,USTEC.a,H1,USTEC.a,1,100000,5.0,20.0,400.0,3079.63,1121.54,1.08,1.52,24,2026-05-06 01:52:17,2026-08-12 16:45:00,66.7,2,2,1061.06,1.33,11,640.25,0.22,C:\BulkBackTest\Proxy_3m_RealTicks\reports\OtherSets_nas100_H1_G_USTEC.a_H1_REALTICKS.htm
OtherSets_nas100_H1_L_USTEC.a_H1_REALTICKS,OtherSets_nas100_H1_L,Other Sets NAS100,USTEC.a,H1,USTEC.a,1,100000,5.0,12.0,240.0,4582.54,772.85,0.73,1.12,24,2026-05-05 19:11:36,2026-08-12 23:59:44,66.7,2,2,772.85,1.14,6,772.85,0.15,C:\BulkBackTest\Proxy_3m_RealTicks\reports\OtherSets_nas100_H1_L_USTEC.a_H1_REALTICKS.htm
VolatilityBreakout_EURUSD_e_EURUSD.a_M15_REALTICKS,VolatilityBreakout_EURUSD_e,Volatility Breakout EURUSD,EURUSD.a,M15,EURUSD.a,2,100000,5.0,20.0,400.0,920.0,1542.5,1.51,1.51,6,2026-06-05 17:13:58,2026-07-14 18:51:06,66.7,2,2,1525.0,2.0,4,766.25,0.3,C:\BulkBackTest\Proxy_3m_RealTicks\reports\VolatilityBreakout_EURUSD_e_EURUSD.a_M15_REALTICKS.htm
VolatilityBreakout_EURUSD_f_EURUSD.a_M15_REALTICKS,VolatilityBreakout_EURUSD_f,Volatility Breakout EURUSD,EURUSD.a,M15,EURUSD.a,2,100000,5.0,20.0,400.0,-658.82,3118.82,3.04,3.04,8,2026-06-05 16:31:13,2026-08-10 20:17:35,50.0,4,3,3083.82,4.0,4,779.41,0.61,C:\BulkBackTest\Proxy_3m_RealTicks\reports\VolatilityBreakout_EURUSD_f_EURUSD.a_M15_REALTICKS.htm
VolatilityBreakout_EURUSD_i_EURUSD.a_M15_REALTICKS,VolatilityBreakout_EURUSD_i,Volatility Breakout EURUSD,EURUSD.a,M15,EURUSD.a,2,100000,5.0,90.0,1800.0,-1718.55,1718.55,1.72,1.84,7,2026-05-14 17:58:30,2026-08-12 23:58:57,28.6,3,3,1318.21,1.67,1,521.11,0.34,C:\BulkBackTest\Proxy_3m_RealTicks\reports\VolatilityBreakout_EURUSD_i_EURUSD.a_M15_REALTICKS.htm
VolatilityBreakout_EURUSD_k_EURUSD.a_M15_REALTICKS,VolatilityBreakout_EURUSD_k,Volatility Breakout EURUSD,EURUSD.a,M15,EURUSD.a,2,100000,5.0,14.0,280.0,-1783.38,2836.52,2.81,3.07,5,2026-06-17 22:10:04,2026-08-11 05:55:18,40.0,2,2,2524.0,1.5,1,1321.02,0.56,C:\BulkBackTest\Proxy_3m_RealTicks\reports\VolatilityBreakout_EURUSD_k_EURUSD.a_M15_REALTICKS.htm
VolatilityBreakout_EURUSD_l_EURUSD.a_M15_REALTICKS,VolatilityBreakout_EURUSD_l,Volatility Breakout EURUSD,EURUSD.a,M15,EURUSD.a,2,100000,5.0,32.0,640.0,597.4,1696.54,1.66,1.66,8,2026-06-05 17:24:30,2026-07-14 20:14:20,62.5,3,3,1680.16,3.0,5,577.24,0.33,C:\BulkBackTest\Proxy_3m_RealTicks\reports\VolatilityBreakout_EURUSD_l_EURUSD.a_M15_REALTICKS.htm
VolatilityBreakout_EURUSD_m_EURUSD.a_M15_REALTICKS,VolatilityBreakout_EURUSD_m,Volatility Breakout EURUSD,EURUSD.a,M15,EURUSD.a,2,100000,5.0,43.0,860.0,-515.42,1145.3,1.14,1.61,4,2026-06-17 22:46:22,2026-08-12 23:58:57,25.0,3,3,1133.12,3.0,1,601.23,0.23,C:\BulkBackTest\Proxy_3m_RealTicks\reports\VolatilityBreakout_EURUSD_m_EURUSD.a_M15_REALTICKS.htm
VolatilityBreakout_EURUSD_o_EURUSD.a_M15_REALTICKS,VolatilityBreakout_EURUSD_o,Volatility Breakout EURUSD,EURUSD.a,M15,EURUSD.a,2,100000,5.0,24.0,480.0,-427.5,1652.62,1.63,1.79,6,2026-06-05 16:42:59,2026-08-11 05:55:18,50.0,2,2,1470.56,1.5,2,769.66,0.33,C:\BulkBackTest\Proxy_3m_RealTicks\reports\VolatilityBreakout_EURUSD_o_EURUSD.a_M15_REALTICKS.htm
